Cellulose_b,DPA,L_1_PHOSPHATIDYL_ETHANOLAMINE_r,L_PHOSPHATIDATE_p,PHOSPHATIDYL_CHOLINE_r,Starch_b,pALA_b,pARG_b,pASN_b,pASP_b,pCYS_b,pGLN_b,pGLU_b,pGLY_b,pHIS_b,pILE_b,pLEU_b,pLYS_b,pMET_b,pPHE_b,pPRO_b,pSER_b,pTHR_b,pTRP_b,pTYR_b,pVAL_b,sALA_b,sASN_b,sASP_b,sCIT_b,sFRUCTOSE_6P_b,sFRU_b,sFUM_b,sGABA_b,sGLC_b,sGLN_b,sGLU_b,sGLY_b,sILE_b,sLYS_b,sMALTOSE_b,sMAL_b,sMET_b,sPHE_b,sPRO_b,sPYRUVATE_b,sSER_b,sSUCROSE_b,sTHR_b,sTRP_b,sTYR_b,sVAL_b
0.046541191,1,0.000977983,0.001339801,0.001264572,0.000271955,0.000112468,9.17E-05,5.73E-05,0.000189338,0.000138874,5.34E-05,0.000102493,0.000115402,0.000101319,6.69E-05,2.15E-06,0.000172321,6.32E-05,9.21E-05,8.96E-05,0.00016528,0.000122248,5.05E-05,9.31E-05,7.63E-05,0.008027518,0.077283089,1.71E-09,0.141831827,0.00424456,0.716352502,0.000400946,0.002130778,1.534451785,2.91709425,2.279449061,1.61E-06,6.10E-06,0.063262775,0.000729384,0.069177362,0.001192511,1.35E-05,1.97E-07,0.009259168,0.075792232,0.003936937,1.07E-05,0.004377018,1.75E-05,0.003480259
0.031370791,2,0.000661912,0.000906796,0.000855879,0.000346087,0.00010701,8.73E-05,5.45E-05,0.000180149,0.000132134,5.08E-05,9.75E-05,0.000109801,9.64E-05,6.36E-05,2.05E-06,0.000163958,6.01E-05,8.77E-05,8.52E-05,0.000157258,0.000116315,4.80E-05,8.86E-05,7.26E-05,0.010952091,0.08579019,2.78E-09,0.169215323,0.00528408,0.917951885,0.00050787,0.003192103,1.911644476,3.313618063,2.551088468,2.63E-06,9.94E-06,0.067626042,0.000885651,0.100262304,0.001352511,2.19E-05,3.21E-07,0.010863245,0.088290058,0.005292757,1.71E-05,0.00471901,2.85E-05,0.005075641
0.02978722,3,0.000629172,0.000861942,0.000813544,0.000433371,0.000103147,8.41E-05,5.26E-05,0.000173645,0.000127364,4.90E-05,9.40E-05,0.000105837,9.29E-05,6.13E-05,1.97E-06,0.000158039,5.79E-05,8.45E-05,8.22E-05,0.000151581,0.000112116,4.63E-05,8.54E-05,7.00E-05,0.014638027,0.095206976,4.54E-09,0.201855565,0.006506453,1.176221071,0.000640278,0.004782042,2.381334429,3.762831551,2.854167147,4.29E-06,1.62E-05,0.072281665,0.001070008,0.143348706,0.001533925,3.57E-05,5.23E-07,0.012736771,0.10282633,0.007115315,2.71E-05,0.00508735,4.64E-05,0.007284977
0.030390191,4,0.000642291,0.000879915,0.000830508,0.000534072,0.000100811,8.22E-05,5.14E-05,0.000169713,0.000124479,4.79E-05,9.19E-05,0.000103441,9.08E-05,6.00E-05,1.93E-06,0.00015446,5.66E-05,8.26E-05,8.03E-05,0.000148148,0.000109577,4.52E-05,8.35E-05,6.84E-05,0.019175755,0.10562446,7.39E-09,0.240748887,0.007925828,1.507048099,0.000803354,0.007163844,2.966081377,4.271382988,3.19208688,6.99E-06,2.64E-05,0.077247995,0.001289224,0.202207873,0.001739605,5.82E-05,8.53E-07,0.014921464,0.11972552,0.009565137,4.29E-05,0.005484007,7.56E-05,0.010292319
0.031995722,5,0.000676501,0.000926781,0.000874742,0.000647856,1.00E-04,8.15E-05,5.09E-05,0.000168281,0.000123429,4.75E-05,9.11E-05,0.000102568,9.01E-05,5.95E-05,1.91E-06,0.000153157,5.62E-05,8.19E-05,7.96E-05,0.000146898,0.000108653,4.49E-05,8.27E-05,6.78E-05,0.024633142,0.117141291,1.20E-08,0.287075048,0.009553379,1.930748511,0.00100309,0.010731819,3.693879437,4.846656352,3.568557071,1.14E-05,4.30E-05,0.082544357,0.001551533,0.281459218,0.001972779,9.49E-05,1.39E-06,0.017464451,0.139360884,0.012857838,6.81E-05,0.005911087,0.000123145,0.014316426
0.034268221,6,0.000724774,0.000992914,0.000937162,0.000773682,0.000100577,8.20E-05,5.13E-05,0.00016932,0.000124191,4.78E-05,9.17E-05,0.000103201,9.06E-05,5.98E-05,1.92E-06,0.000154102,5.65E-05,8.24E-05,8.01E-05,0.000147805,0.000109323,4.51E-05,8.33E-05,6.82E-05,0.031045292,0.12986404,1.96E-08,0.342228691,0.011396402,2.473281889,0.001246344,0.016076532,4.599428719,5.496822026,3.987606717,1.86E-05,7.01E-05,0.088191074,0.001866989,0.386642931,0.002237095,0.000154639,2.26E-06,0.020418694,0.162160764,0.017282931,0.000108119,0.006370842,0.00020068,0.019610079
0.037082412,7,0.00078449,0.001074722,0.001014377,0.000909727,0.000102666,8.37E-05,5.23E-05,0.000172836,0.00012677,4.87E-05,9.36E-05,0.000105344,9.25E-05,6.11E-05,1.96E-06,0.000157302,5.77E-05,8.41E-05,8.18E-05,0.000150874,0.000111593,4.61E-05,8.50E-05,6.96E-05,0.038405171,0.143907397,3.20E-08,0.407855229,0.013457451,3.167791561,0.001540891,0.02408236,5.725683691,6.230881049,4.453592121,3.02E-05,0.000114216,0.094209486,0.002247899,0.524257804,0.002536681,0.000252003,3.69E-06,0.023843367,0.188615328,0.023228979,0.000171569,0.006865676,0.000327027,0.026456531
0.040387135,8,0.00085458,0.001170743,0.001105006,0.001053351,0.000106249,8.67E-05,5.41E-05,0.000178868,0.000131195,5.04E-05,9.68E-05,0.000109021,9.57E-05,6.32E-05,2.03E-06,0.000162792,5.97E-05,8.70E-05,8.46E-05,0.00015614,0.000115488,4.77E-05,8.80E-05,7.21E-05,0.046656175,0.159394254,5.21E-08,0.485891289,0.01573358,4.05654612,0.001895448,0.036073416,7.125726834,7.058698777,4.971198712,4.93E-05,0.000186129,0.10062197,0.002709347,0.701749196,0.002876204,0.000410666,6.01E-06,0.027804159,0.219283608,0.031217167,0.000272252,0.007398155,0.00053291,0.035162435
0.044161633,9,0.000934614,0.001280386,0.001208493,0.001201117,0.000111366,9.08E-05,5.67E-05,0.000187483,0.000137513,5.29E-05,0.000101489,0.000114271,0.000100326,6.62E-05,2.13E-06,0.000170632,6.26E-05,9.12E-05,8.87E-05,0.00016366,0.00012105,5.00E-05,9.22E-05,7.55E-05,0.055687738,0.176455628,8.50E-08,0.578609692,0.018215754,5.193375786,0.002319673,0.054031599,8.865017622,7.991022626,5.545434961,8.03E-05,0.000303316,0.107451945,0.003269826,0.927431578,0.003260934,0.00066921,9.80E-06,0.032373484,0.254800627,0.041946,0.000432014,0.007971015,0.000868373,0.046046769
0.048397216,10,0.001024413,0.001403408,0.001324607,0.001348874,0.000118067,9.63E-05,6.02E-05,0.000198764,0.000145787,5.61E-05,0.000107595,0.000121147,0.000106363,7.02E-05,2.26E-06,0.000180899,6.63E-05,9.67E-05,9.40E-05,0.000173507,0.000128334,5.30E-05,9.77E-05,8.01E-05,0.065334812,0.195230389,1.38E-07,0.688668512,0.020888451,6.64671028,0.002824132,0.080922062,11.02406351,9.039477125,6.181615954,0.000130837,0.000494271,0.11472388,0.003951994,1.210331034,0.003696823,0.001090488,1.60E-05,0.037630537,0.295884299,0.056350594,0.000685517,0.008587169,0.001414914,0.059425519
